ID_Historique,Date_Action,Utilisateur,Action,Table_Modifiee,ID_Enregistrement,Champ_Modifie,Ancienne_Valeur,Nouvelle_Valeur,Commentaire
H0027,2025-07-06 18:18:02,consultant1,Suppression fournisseur,Fournisseurs,F006,Score_Qualite,Valeur_12,Valeur_54,Ajustement performance
H0028,2025-09-01 18:18:02,admin,Changement statut,Commandes,F006,Score_Qualite,Valeur_84,Valeur_28,Mise à jour automatique
H0029,2025-06-13 18:18:02,consultant1,Annulation commande,Fournisseurs,C0175,Date_Livraison,Valeur_34,Valeur_37,Mise à jour système
H0030,2025-05-13 18:18:02,consultant1,Modification commande,Fournisseurs,F010,Commentaires,Valeur_57,Valeur_12,Validation données
H0031,2025-05-31 18:18:02,consultant1,Création acheteur,Acheteurs,F011,Score_Qualite,Valeur_87,Valeur_89,Correction erreur
H0032,2025-07-28 18:18:02,consultant1,Modification acheteur,Acheteurs,F013,Statut,Valeur_98,Valeur_28,Correction erreur
H0033,2025-07-08 18:18:02,consultant1,Création acheteur,Commandes,F008,Score_Qualite,Valeur_5,Valeur_56,Ajustement performance
H0034,2025-03-31 18:18:02,acheteur2,Annulation commande,Fournisseurs,C0090,Note_Performance,Valeur_71,Valeur_57,Correction manuelle
H0035,2025-08-31 18:18:02,acheteur1,Suppression fournisseur,Acheteurs,F008,Note_Performance,Valeur_95,Valeur_28,Validation données
H0036,2025-07-22 18:18:02,admin,Ajout commande,Commandes,C0188,Score_Qualite,Valeur_47,Valeur_31,Mise à jour automatique
H0037,2025-04-04 18:18:02,acheteur1,Création fournisseur,Commandes,C0052,Score_Qualite,Valeur_75,Valeur_54,Mise à jour automatique
H0038,2025-03-31 18:18:02,acheteur1,Modification fournisseur,Acheteurs,C0122,Montant_Total,Valeur_46,Valeur_69,Mise à jour système
H0039,2025-08-18 18:18:02,acheteur1,Annulation commande,Commandes,C0046,Montant_Total,Valeur_95,Valeur_94,Validation données
H0040,2025-09-19 18:18:02,admin,Modification acheteur,Fournisseurs,C0161,Score_Qualite,Valeur_75,Valeur_77,Correction manuelle
H0041,2025-09-14 18:18:02,acheteur2,Annulation commande,Fournisseurs,C0099,Note_Performance,Valeur_48,Valeur_56,Validation données
H0042,2025-06-27 18:18:02,acheteur1,Changement statut,Acheteurs,C0018,Prix_Moyen_Commande,Valeur_87,Valeur_55,Mise à jour système
H0043,2025-05-30 18:18:02,acheteur1,Annulation commande,Acheteurs,F013,Statut,Valeur_17,Valeur_43,Correction erreur
H0044,2025-07-07 18:18:02,acheteur1,Modification fournisseur,Acheteurs,C0106,Date_Livraison,Valeur_96,Valeur_94,Mise à jour automatique
H0045,2025-04-07 18:18:02,acheteur2,Création fournisseur,Acheteurs,F002,Date_Livraison,Valeur_93,Valeur_86,Ajustement performance
H0046,2025-05-11 18:18:02,admin,Ajout commande,Fournisseurs,C0156,Statut,Valeur_43,Valeur_85,Correction manuelle
H0047,2025-06-13 18:18:02,acheteur1,Création acheteur,Acheteurs,C0155,Score_Qualite,Valeur_93,Valeur_67,Ajustement performance
H0048,2025-05-07 18:18:02,admin,Ajout commande,Fournisseurs,C0155,Statut,Valeur_1,Valeur_32,Mise à jour automatique
H0049,2025-06-24 18:18:02,acheteur2,Création fournisseur,Acheteurs,C0117,Date_Livraison,Valeur_35,Valeur_99,Mise à jour automatique
H0050,2025-06-14 18:18:02,acheteur2,Création fournisseur,Commandes,F013,Note_Performance,Valeur_53,Valeur_91,Correction manuelle
